Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
"Cybersecurity Roles, Processes & Operating System Security",4.6,Beginner level,Flexible schedule,Not specified,Not specified,13,5307
Malware Analysis and Introduction to Assembly Language,4.5,Beginner level,Flexible schedule,Not specified,Not specified,21,36
Networking Fundamentals,5,Beginner level,Flexible schedule,"Learners will master network theory, internet infrasture, basic network security, management and troubleshooting.","Network Transmissions and Hardware, Network Architecture, Internet Protocol (IP) Suite, Network Theory, Network Management / Troubleshooting",26,12
Introduction to Network Automation,4.6,Intermediate level,Flexible schedule,Not specified,"Network Planning And Design, Python Programming, Python Scripting, network automation, Automation",2,21
Competencias digitales de ofimática: Microsoft Access,4.8,Beginner level,Flexible schedule,Not specified,Microsoft Access,8,1199
Cyber Incident Response Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Network Forensics, Computer Security Incident Management, incident response handling, CSIH, analysis",40,152
Elastic Google Cloud Infrastructure: Scaling and Automation,4.7,Intermediate level,Flexible schedule,Connect your infrastructure to Google Cloud.Configure load balancers and autoscaling for VM instances.Automate the deployment of Google Cloud infrastructure services.Leverage managed services in Google Cloud.,"Load Balancing, Virtual Private Network (VPN), Google Cloud Platform, Autoscaling",7,9113
Network Security,4.7,Not specified,Flexible schedule,Not specified,Not specified,11,69
Industrial Internet of Things (IIoT),4.5,Beginner level,Flexible schedule,"Understand the basics of IIoT, including its applications in manufacturing and business consideration for this technologiesHear from industry experts talking about the opportunities and challenges of implementing IIoT in the form of interviews and case studies","technology, Manufacturing Process Management, Business Case, Industrial Internet of Things (IIoT)",10,124
Data Security,4.9,Not specified,Flexible schedule,Not specified,Not specified,15,17
Competencias digitales de ofimática: Microsoft Word,4.7,Beginner level,Flexible schedule,Not specified,Not specified,7,99
Cybersecurity: Developing a Program for Your Business Specialization,4.6,Beginner level,Flexible schedule,Not specified,"Ransomware, Cybersecurity, Internet Of Things (IOT), Mobile Security",40,879
Essential Cloud Infrastructure: Foundation - 日本語版,4.6,Intermediate level,Flexible schedule,Google Cloud コンソールと Cloud Shell を操作するGoogle Cloud Marketplace を使用してソリューションをデプロイする VPC ネットワークとファイアウォール ルールを実装するCompute Engine を使用して VM インスタンスを作成およびカスタマイズする,"Google Compute Engine, Virtual Machine, Google Cloud Platform, Network Architecture",8,217
Being a researcher (in Information Science and Technology),4.8,Beginner level,Flexible schedule,"Research methodology, pragmatics, ethics.","Research, research ethics, publications, evaluating research, Research Methodology",7,172
Python for Cybersecurity Specialization,4.5,Intermediate level,Flexible schedule,Develop custom Python scripts to automate cybersecurity tasks.Apply Python to meet objectives through the cybersecurity attack lifecycle.Automate common cyberattack and defense activities with Python.,"Computer Programming, Cybersecurity, Python Programming, attack and defend, pre-att&ck",40,330
"Core 2: OS, Software, Security and Operational Procedures",0,Intermediate level,Flexible schedule,"List common features and commands of Microsoft Windows, Apple macOS, Linux OSs, and adjust preferences with command line and console tools. Describe OS features, how to install and update OS, troubleshoot common issues, and summarize the importance of SOHO networks. Explain the advantages of using active directory, MS Windows security tools, and data destruction to secure mobile devices. Evaluate IT support practices while assessing the utility of privacy, automation, safety, and control methods and define malware best practices.","Technical Support, security, Operating Systems, IT Troubleshooting, Mobile Devices",24,0
Google Cloud IAM and Networking for Azure Professionals,4.6,Intermediate level,Flexible schedule,"Explain how Google Cloud’s resource hierarchy differs from Azure.Explain best practices for Google Cloud’s IAM, resource hierarchy, including organizations, folders, and projects.Explain the differences between Google Cloud’s IAM and Azure AD.Navigate through the Google Cloud console and Cloud Shell to perform basic tasks.",Not specified,3,242
Data Privacy Fundamentals,4.8,Beginner level,Flexible schedule,Identify foundational understanding of digital age privacy concepts and theoriesIdentify privacy implications of modern digital technologyIdentify the rules and frameworks for data privacy in the age of technology,"Information Privacy, Algorithms, information ethics, Biometrics, 4th Amendment",8,568
Foundations of Business Intelligence,4.7,Advanced level,Flexible schedule,Understand common careers and industries that use BIInvestigate the impact data can have on business decision-makingExplain the important role that BI professionals have in businessesDevelop a BI project plan ,"Business Processes and Requirements, Sharing Insights With Stakeholders, Stakeholder Management, Cross-Functional Team Dynamics, Asking Effective Questions",31,828
Digital Technologies and the Future of Manufacturing  Specialization,4.6,Beginner level,Flexible schedule,"Learn the basics of technology breakthrough in manufacturing and their business applicationsEvaluate a company's value, risks, challenges, planning, and impact on employees, and propose recommendations in a case study","Bussiness, technology, Manufacturing Process Management, Industrial Internet of Things (IIoT)",40,168
Software Developer Career Guide and Interview Preparation,4.7,Beginner level,Flexible schedule,"Describe the role of a software engineer and some career path options as well as the prospective opportunities in the field.Explain how to build a foundation for a job search, including researching job listings, writing a resume, and making a portfolio of work.Summarize what a candidate can expect during a typical job interview cycle, different types of interviews, and how to prepare for interviews.Explain how to give an effective interview, including techniques for answering questions and how to make a professional personal presentation.","Career, Software Engineer, Coding Challenge, interview Preparation, Full Stack Developer",11,86
